Type,Title,URL Path,Section (from URL),In Known Nav Menu,Nav Location,Content Cluster (from tags),Published,CAS Protected,Category,Tags,Audience,Custom Vocab,Flags
Post,Release Notes v1.10.0,/announcements/2024-11-19-release-notes-v1100,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes v1.8.0,/announcements/2024-09-18-release-notes-v180,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes v1.5.0,/announcements/2024-08-14-release-notes-v150,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Supporting Embedded Content on the YaleSites Platform,/announcements/2024-04-17-supporting-embedded-content-on-the-yalesites-platform,Posts / Announcements,Not a known menu link*,,,Yes,No,,product decisions,,,
Post,Release Notes v1.4.0,/announcements/2024-06-25-release-notes-v140,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes v1.3.0,/announcements/2024-05-15-release-notes-v130,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes v1.2.0,/announcements/2024-04-04-release-notes-v120,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes v1.1.0,/announcements/2024-02-29-release-notes-v110,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,A YaleSites Review,/announcements/2023-12-05-a-yalesites-review,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News",,,
Post,"New year, new release",/announcements/2024-02-05-new-year-new-release,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News",,,
Post,Release Notes 1.19.24,/announcements/2024-01-19-release-notes-11924,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Make the most of your YaleSite,/announcements/2023-10-23-make-the-most-of-your-yalesite,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"front, News",,,
Post,Post-Release Fixes,/announcements/2023-10-09-post-release-fixes,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,
Post,Release Notes 9.26.23,/announcements/2023-09-26-release-notes-92623,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"front, Release Notes",,,Title has leading/trailing whitespace in source export
Post,Release Notes 6.8.23,/posts/2023-06-08-release-notes-6823,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,Release Notes,,,
Post,Release Notes 5.25.23,/posts/2023-05-25-release-notes-52523,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"Release Notes, front",,,
Post,Release Notes 5.8.23,/posts/2023-05-08-release-notes-5823,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"Release Notes, front",,,
Post,Release Notes 7.31.23,/announcements/2023-07-31-release-notes-73123,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"Release Notes, front",,,
Post,Release Notes 6.29.23,/announcements/2023-06-29-release-notes-62923,Posts / Announcements,Not a known menu link*,,Release notes,Yes,No,,"Release Notes, front",,,
Post,Introducing Editoria11y,/announcements/2023-06-05-introducing-editoria11y,Posts / Announcements,Not a known menu link*,,Homepage spotlight rotation,Yes,No,,"News, Accessibility, front",,,
Post,Status Updates on Your Yale,/announcements/2022-06-09-status-updates-on-your-yale,Posts / Announcements,Not a known menu link*,,,Yes,No,,"YaleSites Project Updates, News",,,
